iter	MultiClass
0	1.623326011
1	1.498004559
2	1.399631594
3	1.319761233
4	1.253379216
5	1.197250564
6	1.149161221
7	1.107527142
8	1.071175115
9	1.039211741
10	1.010941018
11	0.985810322
12	0.9633737541
13	0.9432665407
14	0.9251866992
15	0.9088816217
16	0.8941380674
17	0.8807745737
18	0.8686356128
19	0.8575870325
20	0.847512456
21	0.8383104076
22	0.8298919943
23	0.8221790203
24	0.8151024386
25	0.8086010716
26	0.8026205449
27	0.7971123941
28	0.7920333105
29	0.7873445021
30	0.7830111479
31	0.7790019301
32	0.7752886316
33	0.7718457872
34	0.7686503805
35	0.7656815804
36	0.7629205088
37	0.7603500383
38	0.7579546122
39	0.7557200866
40	0.7536335893
41	0.7516833958
42	0.7498588171
43	0.7481501006
44	0.7465483414
45	0.7450454022
46	0.7436338416
47	0.7423068501
48	0.7410581916
49	0.7398821512
50	0.7387734882
51	0.7377273932
52	0.7367394494
53	0.7358055981
54	0.7349221066
55	0.7340855397
56	0.7332927338
57	0.7325407732
58	0.7318269687
59	0.7311488383
60	0.7305040892
61	0.7298906022
62	0.7293064168
63	0.7287497178
64	0.7282188236
65	0.7277121748
66	0.7272283246
67	0.7267659291
68	0.7263237396
69	0.7259005944
70	0.7254954124
71	0.7251071863
72	0.724734977
73	0.7243779086
74	0.724035163
75	0.7237059759
76	0.7233896326
77	0.7230854643
78	0.7227928446
79	0.7225111865
80	0.7222399395
81	0.7219785871
82	0.7217266439
83	0.721483654
84	0.7212491885
85	0.7210228439
86	0.7208042401
87	0.720593019
88	0.7203888428
89	0.7201913929
90	0.7200003686
91	0.7198154856
92	0.7196364753
93	0.7194630837
94	0.7192950703
95	0.7191322074
96	0.7189742792
97	0.7188210814
98	0.7186724199
99	0.7185281107
100	0.718387979
101	0.7182518587
102	0.7181195921
103	0.7179910291
104	0.7178660269
105	0.7177444496
106	0.7176261677
107	0.7175110581
108	0.717399003
109	0.7172898905
110	0.7171836136
111	0.7170800702
112	0.7169791629
113	0.7168807985
114	0.7167848881
115	0.7166913466
116	0.7166000926
117	0.7165110482
118	0.716424139
119	0.7163392936
120	0.7162564437
121	0.7161755236
122	0.7160964707
123	0.7160192246
124	0.7159437277
125	0.7158699245
126	0.7157977618
127	0.7157271884
128	0.7156581553
129	0.7155906152
130	0.7155245229
131	0.7154598347
132	0.7153965087
133	0.7153345045
134	0.7152737833
135	0.7152143077
136	0.7151560417
137	0.7150989505
138	0.7150430008
139	0.7149881603
140	0.714934398
141	0.7148816839
142	0.7148299891
143	0.7147792858
144	0.7147295469
145	0.7146807466
146	0.7146328597
147	0.714585862
148	0.71453973
149	0.7144944412
150	0.7144499737
151	0.7144063063
152	0.7143634185
153	0.7143212906
154	0.7142799034
155	0.7142392384
156	0.7141992776
157	0.7141600037
158	0.7141213999
159	0.7140834498
160	0.7140461377
161	0.7140094483
162	0.7139733667
163	0.7139378786
164	0.7139029701
165	0.7138686275
166	0.7138348379
167	0.7138015884
168	0.7137688667
169	0.7137366609
170	0.7137049593
171	0.7136737505
172	0.7136430237
173	0.7136127681
174	0.7135829735
175	0.7135536296
176	0.7135247269
177	0.7134962556
178	0.7134682067
179	0.713440571
180	0.7134133399
181	0.7133865049
182	0.7133600577
183	0.7133339901
184	0.7133082945
185	0.7132829631
186	0.7132579886
187	0.7132333636
188	0.7132090812
189	0.7131851345
190	0.7131615169
191	0.7131382217
192	0.7131152426
193	0.7130925736
194	0.7130702085
195	0.7130481415
196	0.7130263668
197	0.7130048788
198	0.7129836722
199	0.7129627416
200	0.7129420817
201	0.7129216877
202	0.7129015544
203	0.7128816771
204	0.7128620511
205	0.7128426718
206	0.7128235348
207	0.7128046355
208	0.7127859698
209	0.7127675336
210	0.7127493226
211	0.7127313329
212	0.7127135607
213	0.7126960021
214	0.7126786534
215	0.712661511
216	0.7126445713
217	0.7126278309
218	0.7126112863
219	0.7125949343
220	0.7125787715
221	0.7125627948
222	0.7125470012
223	0.7125313874
224	0.7125159507
225	0.7125006881
226	0.7124855966
227	0.7124706736
228	0.7124559164
229	0.7124413221
230	0.7124268883
231	0.7124126123
232	0.7123984917
233	0.7123845239
234	0.7123707067
235	0.7123570376
236	0.7123435143
237	0.7123301346
238	0.7123168962
239	0.712303797
240	0.7122908348
241	0.7122780076
242	0.7122653133
243	0.7122527499
244	0.7122403154
245	0.712228008
246	0.7122158257
247	0.7122037667
248	0.7121918291
249	0.7121800112
250	0.7121683113
251	0.7121567275
252	0.7121452583
253	0.712133902
254	0.7121226569
255	0.7121115215
256	0.7121004943
257	0.7120895736
258	0.712078758
259	0.712068046
260	0.7120574361
261	0.712046927
262	0.7120365172
263	0.7120262055
264	0.7120159903
265	0.7120058704
266	0.7119958446
267	0.7119859114
268	0.7119760698
269	0.7119663184
270	0.711956656
271	0.7119470815
272	0.7119375937
273	0.7119281914
274	0.7119188736
275	0.711909639
276	0.7119004867
277	0.7118914155
278	0.7118824244
