iter	Passed	Remaining
0	0	384
1	0	312
2	0	280
3	1	275
4	1	268
5	1	258
6	1	261
7	2	254
8	2	249
9	2	243
10	2	239
11	2	236
12	3	232
13	3	229
14	3	225
15	3	223
16	3	220
17	4	219
18	4	216
19	4	215
20	4	213
21	4	213
22	5	215
23	5	214
24	5	215
25	5	216
26	6	216
27	6	215
28	6	214
29	6	212
30	6	211
31	6	210
32	7	211
33	7	211
34	7	212
35	7	211
36	8	210
37	8	209
38	8	209
39	8	208
40	8	208
41	9	207
42	9	206
43	9	206
44	9	206
45	9	205
46	10	206
47	10	205
48	10	204
49	10	204
50	10	203
51	11	203
52	11	202
53	11	201
54	11	201
55	11	200
56	12	200
57	12	199
58	12	199
59	12	199
60	12	199
61	13	199
62	13	198
63	13	198
64	13	197
65	13	197
66	14	197
67	14	197
68	14	197
69	14	197
70	15	196
71	15	196
72	15	195
73	15	195
74	15	194
75	16	195
76	16	195
77	16	195
78	16	195
79	16	195
80	17	194
81	17	194
82	17	194
83	17	193
84	17	193
85	18	192
86	18	192
87	18	191
88	18	191
89	18	190
90	19	190
91	19	189
92	19	189
93	19	189
94	19	188
95	20	188
96	20	188
97	20	188
98	20	188
99	20	187
100	21	187
101	21	187
102	21	187
103	21	186
104	21	186
105	22	186
106	22	185
107	22	185
108	22	184
109	22	184
110	22	184
111	23	183
112	23	183
113	23	183
114	23	183
115	24	183
116	24	182
117	24	182
118	24	182
119	24	181
120	25	181
121	25	181
122	25	181
123	25	181
124	25	181
125	26	181
126	26	181
127	26	181
128	26	181
129	27	181
130	27	180
131	27	180
132	27	180
133	27	180
134	28	180
135	28	180
136	28	180
137	28	180
138	29	179
139	29	179
140	29	179
141	29	179
142	29	179
143	30	179
144	30	179
145	30	179
146	30	179
147	31	178
148	31	178
149	31	178
150	31	178
151	31	178
152	32	177
153	32	177
154	32	177
155	32	176
156	32	176
157	33	176
158	33	176
159	33	176
160	33	176
161	34	177
162	34	177
163	34	176
164	34	176
165	35	176
166	35	176
167	35	175
168	35	175
169	35	175
170	36	175
171	36	174
172	36	174
173	36	174
174	36	173
175	37	173
176	37	173
177	37	173
178	37	172
179	37	172
180	38	172
181	38	172
182	38	172
183	38	172
184	39	172
185	39	172
186	39	172
187	39	171
188	39	171
189	40	171
190	40	171
191	40	171
192	40	171
193	41	170
194	41	170
195	41	170
196	41	170
197	41	169
198	42	169
199	42	169
200	42	169
201	42	169
202	42	168
203	43	168
204	43	168
205	43	167
206	43	167
207	43	167
208	44	167
209	44	166
210	44	166
211	44	166
212	44	165
213	45	165
214	45	165
215	45	165
216	45	164
217	45	164
218	46	164
219	46	164
220	46	164
221	46	163
222	46	163
223	47	163
224	47	162
225	47	162
226	47	162
227	47	162
228	48	162
229	48	161
230	48	161
231	48	161
232	48	160
233	49	160
234	49	160
235	49	160
236	49	160
237	50	160
238	50	160
239	50	159
240	50	159
241	50	159
242	51	159
243	51	159
244	51	158
245	51	158
246	51	158
247	52	158
248	52	157
249	52	157
250	52	157
251	53	157
252	53	157
253	53	156
254	53	156
255	53	156
256	54	156
257	54	156
258	54	155
259	54	155
260	54	155
261	55	155
262	55	155
263	55	154
264	55	154
265	56	154
266	56	154
267	56	154
268	56	154
269	56	153
270	57	153
271	57	153
272	57	153
273	57	153
274	58	153
275	58	153
276	58	153
277	59	153
278	59	153
279	59	153
280	59	153
281	60	153
282	60	152
283	60	152
284	60	152
285	61	152
286	61	152
287	61	151
288	61	151
289	61	151
290	62	151
291	62	151
292	62	150
293	62	150
294	62	150
295	63	150
296	63	149
297	63	149
298	63	149
299	63	148
300	64	148
301	64	148
302	64	148
303	64	148
304	65	148
305	65	148
306	65	147
307	65	147
308	65	147
309	66	147
310	66	147
311	66	147
312	66	147
313	67	146
314	67	146
315	67	146
316	67	146
317	67	145
318	68	145
319	68	145
320	68	145
321	68	145
322	69	145
323	69	144
324	69	144
325	69	144
326	70	144
327	70	143
328	70	143
329	70	143
330	70	143
331	71	142
332	71	142
333	71	142
334	71	142
335	71	141
336	72	141
337	72	141
338	72	141
339	72	141
340	73	141
341	73	141
342	73	140
343	73	140
344	73	140
345	74	140
346	74	140
347	74	139
348	74	139
349	75	139
350	75	139
351	75	139
352	75	139
353	76	138
354	76	138
355	76	138
356	76	138
357	77	138
358	77	138
359	77	137
360	77	137
361	77	137
362	78	137
363	78	137
364	78	137
365	79	137
366	79	137
367	79	137
368	80	136
369	80	136
370	80	136
371	80	136
372	81	136
373	81	136
374	81	135
375	81	135
376	81	135
377	82	135
378	82	134
379	82	134
380	82	134
381	82	134
382	83	133
383	83	133
384	83	133
385	83	133
386	83	132
387	84	132
388	84	132
389	84	132
390	84	131
391	84	131
392	85	131
393	85	131
394	85	130
395	85	130
396	85	130
397	86	130
398	86	129
399	86	129
400	86	129
401	86	129
402	87	129
403	87	128
404	87	128
405	87	128
406	87	128
407	88	127
408	88	127
409	88	127
410	88	127
411	89	127
412	89	126
413	89	126
414	89	126
415	89	126
416	90	126
417	90	125
418	90	125
419	90	125
420	91	125
421	91	125
422	91	124
423	91	124
424	92	124
425	92	124
426	92	124
427	92	124
428	92	123
429	93	123
430	93	123
431	93	123
432	93	122
433	94	122
434	94	122
435	94	122
436	94	121
437	94	121
438	95	121
439	95	121
440	95	121
441	96	121
442	96	121
443	96	120
444	96	120
445	96	120
446	97	120
447	97	119
448	97	119
449	98	119
450	98	119
451	98	119
452	98	119
453	99	119
454	99	119
455	99	118
456	99	118
457	100	118
458	100	118
459	100	118
460	100	117
461	100	117
462	101	117
463	101	117
464	101	116
465	101	116
466	101	116
467	102	116
468	102	115
469	102	115
470	102	115
471	103	115
472	103	115
473	103	114
474	103	114
475	103	114
476	104	114
477	104	114
478	104	113
479	104	113
480	105	113
481	105	113
482	105	112
483	105	112
484	105	112
485	106	112
486	106	111
487	106	111
488	106	111
489	107	111
490	107	111
491	107	111
492	107	110
493	107	110
494	108	110
495	108	110
496	108	109
497	108	109
498	109	109
499	109	109
500	109	108
501	109	108
502	109	108
503	110	108
504	110	108
505	110	108
506	113	110
507	114	110
508	114	110
509	114	109
510	115	110
511	115	109
512	115	109
513	116	109
514	116	109
515	117	109
516	117	109
517	118	110
518	118	110
519	119	110
520	120	110
521	120	110
522	121	110
523	121	110
524	122	110
525	122	110
526	122	110
527	122	109
528	123	109
529	123	109
530	123	109
531	123	108
532	124	108
533	124	108
534	124	108
535	124	108
536	125	107
537	125	107
538	125	107
539	125	107
540	126	107
541	126	106
542	126	106
543	126	106
544	127	106
545	127	105
546	127	105
547	127	105
548	128	105
549	128	105
550	128	105
551	129	104
552	129	104
553	129	104
554	129	104
555	130	104
556	130	103
557	130	103
558	130	103
559	131	103
560	131	102
561	131	102
562	131	102
563	132	102
564	132	101
565	132	101
566	132	101
567	133	101
568	133	100
569	133	100
570	133	100
571	133	100
572	134	99
573	134	99
574	134	99
575	134	99
576	134	98
577	135	98
578	135	98
579	135	98
580	135	97
581	136	97
582	136	97
583	136	97
584	137	97
585	137	97
586	137	96
587	137	96
588	138	96
589	138	96
590	138	95
591	138	95
592	138	95
593	139	95
594	139	95
595	140	94
596	140	94
597	140	94
598	140	94
599	141	94
600	141	93
601	141	93
602	141	93
603	142	93
604	142	92
605	142	92
606	142	92
607	143	92
608	143	92
609	143	91
610	144	91
611	144	91
612	144	91
613	144	91
614	145	90
615	145	90
616	145	90
617	146	90
618	146	90
619	146	89
620	146	89
621	147	89
622	147	89
623	147	89
624	148	88
625	148	88
626	148	88
627	148	88
628	149	87
629	149	87
630	149	87
631	149	87
632	150	87
633	150	86
634	150	86
635	150	86
636	150	86
637	151	85
638	151	85
639	151	85
640	151	85
641	152	84
642	152	84
643	152	84
644	152	84
645	153	83
646	153	83
647	153	83
648	153	83
649	153	82
650	154	82
651	154	82
652	154	82
653	154	81
654	154	81
655	155	81
656	155	81
657	155	80
658	155	80
659	156	80
660	156	80
661	156	79
662	156	79
663	157	79
664	157	79
665	157	78
666	157	78
667	157	78
668	158	78
669	158	77
670	158	77
671	158	77
672	158	77
673	159	76
674	159	76
675	159	76
676	159	76
677	159	75
678	160	75
679	160	75
680	160	75
681	160	74
682	161	74
683	161	74
684	161	74
685	161	74
686	161	73
687	162	73
688	162	73
689	162	73
690	162	72
691	163	72
692	163	72
693	163	72
694	163	71
695	164	71
696	164	71
697	164	71
698	164	70
699	164	70
700	165	70
701	165	70
702	165	70
703	166	69
704	166	69
705	166	69
706	166	69
707	166	68
708	167	68
709	167	68
710	167	68
711	167	67
712	168	67
713	168	67
714	168	67
715	168	66
716	169	66
717	169	66
718	169	66
719	170	66
720	170	65
721	170	65
722	170	65
723	171	65
724	171	65
725	171	64
726	171	64
727	172	64
728	172	64
729	172	63
730	173	63
731	173	63
732	173	63
733	173	62
734	174	62
735	174	62
736	174	62
737	175	62
738	175	61
739	175	61
740	175	61
741	176	61
742	176	60
743	176	60
744	177	60
745	177	60
746	178	60
747	178	60
748	178	59
749	179	59
750	179	59
751	180	59
752	180	59
753	180	58
754	180	58
755	181	58
756	181	58
757	181	58
758	182	57
759	182	57
760	182	57
761	183	57
762	183	56
763	183	56
764	183	56
765	184	56
766	184	56
767	184	55
768	185	55
769	185	55
770	185	55
771	185	54
772	186	54
773	186	54
774	186	54
775	187	53
776	187	53
777	187	53
778	188	53
779	188	53
780	188	52
781	189	52
782	189	52
783	189	52
784	190	52
785	190	51
786	190	51
787	191	51
788	191	51
789	191	51
790	192	50
791	192	50
792	192	50
793	193	50
794	193	49
795	193	49
796	194	49
797	194	49
798	194	48
799	194	48
800	195	48
801	195	48
802	195	48
803	196	47
804	196	47
805	196	47
806	197	47
807	197	46
808	197	46
809	197	46
810	198	46
811	198	45
812	198	45
813	198	45
814	199	45
815	199	44
816	199	44
817	199	44
818	199	44
819	200	43
820	200	43
821	200	43
822	200	43
823	201	42
824	201	42
825	201	42
826	201	42
827	201	41
828	202	41
829	202	41
830	202	41
831	202	40
832	203	40
833	203	40
834	203	40
835	203	39
836	204	39
837	204	39
838	204	39
839	204	38
840	205	38
841	205	38
842	205	38
843	206	38
844	206	37
845	206	37
846	207	37
847	207	37
848	207	36
849	207	36
850	208	36
851	208	36
852	208	35
853	209	35
854	209	35
855	209	35
856	209	35
857	210	34
858	210	34
859	210	34
860	211	34
861	211	33
862	211	33
863	212	33
864	212	33
865	212	32
866	212	32
867	213	32
868	213	32
869	213	31
870	213	31
