DatasetName,Target,Pipeline,EvaluationMetric,Time,Size,Website
 Titanic,Survived,"MR,MEDIAN,BE,ZS,dup_null,out_null,CART",0.832402235,18.0302248, 891*12, https://www.kaggle.com/code/kenjee/titanic-project-example
 Titanic,Survived,"MR,OE,imp_null,nor_null,dup_null,out_null,LDA",0.808002973,0.015165091, 891*12, https://www.kaggle.com/code/gunesevitan/titanic-advanced-feature-engineering-tutorial
 Titanic,Survived,"MF,MR,ZS,AD,OE,out_null,LDA",0.803370787,1.741599321, 891*12, https://www.kaggle.com/code/masumrumi/a-statistical-analysis-ml-workflow-of-titanic
 Titanic,Survived,"WR,DROP,LOF,enc_null,nor_null,dup_null,CART",0.735776488,13.45676398, 891*12, https://www.kaggle.com/code/omarelgabry/a-journey-through-titanic
 Titanic,Survived,"MR,MF,FE,out_null,nor_null,dup_null,LDA",0.808988764,0.027000427, 891*12, https://www.kaggle.com/code/nadintamer/titanic-survival-predictions-beginner
 Titanic,Survived,"MICE,OE,MR,out_null,nor_null,dup_null,LDA",0.812949043,0.055140734, 891*12, https://www.kaggle.com/code/sinakhorami/titanic-best-working-classifier
 Titanic,Survived,"MICE,ZS,IQR,enc_null,fea_null,dup_null,NB",0.740506329,0.058003664, 891*12, https://www.kaggle.com/code/nareshbhat/outlier-the-silent-killer
 Titanic,Survived,"MEDIAN,OE,MR,nor_null,out_null,dup_null,NB",0.829968701,0.020285845, 891*12, https://www.kaggle.com/code/headsortails/pytanic
 Titanic,Survived,"MEDIAN,MR,DS,enc_null,out_null,dup_null,LDA",0.720674157,0.02030921, 891*12, https://www.kaggle.com/code/vaishvik25/titanic-eda-fe-3-model-decision-tree-viz
 Titanic,Survived,"MR,BE,nor_null,imp_null,out_null,dup_null,CART",0.803508772,17.15024614, 891*12, https://www.kaggle.com/code/odaymourad/detailed-and-typical-solution-ensemble-modeling
 HeartAttack,output,"OE,DS,imp_null,fea_null,out_null,dup_null,NB",0.836065574,0.01399684, 303*14, https://www.kaggle.com/code/namanmanchanda/heart-attack-eda-prediction-90-accuracy
 HeartAttack,output,"ZSB,ZS,enc_null,imp_null,fea_null,dup_null,NB",0.852459016,0.027000189, 303*14, https://www.kaggle.com/code/durgancegaur/a-guide-to-any-classification-problem
 HeartAttack,output,"ED,ZS,out_null,enc_null,imp_null,fea_null,LDA",0.817458678,0.021982431, 303*14, https://www.kaggle.com/code/fahadmehfoooz/heartattack-prediction-with-91-8-accuracy
 HeartAttack,output,"ED,IQR,nor_null,enc_null,imp_null,fea_null,NB",0.859649123,0.013997555, 303*14, https://www.kaggle.com/code/mysarahmadbhat/chances-of-attack
 HeartAttack,output,"ED,MM,out_null,enc_null,imp_null,fea_null,NB",0.852459016,0.013066769, 303*14, https://www.kaggle.com/code/vipin20/heart-attack-analysis-prediction-eda
 HeartAttack,output,"TB,dup_null,nor_null,out_null,enc_null,imp_null,LDA",0.838842975,0.048927546, 303*14, https://www.kaggle.com/code/ohseokkim/heart-disease-could-our-model-save-lives
 HeartAttack,output,"DS,MR,dup_null,out_null,enc_null,imp_null,LDA",0.851239669,0.018013, 303*14, https://www.kaggle.com/code/d4rklucif3r/heart-attack-luciferml-88-deployment
 HeartAttack,output,"ED,IQR,nor_null,enc_null,imp_null,fea_null,LDA)",0.80778032,0.0189991, 303*14, https://www.kaggle.com/code/sercanyesiloz/heart-attack-eda-prediction
 HeartAttack,output,"IQR,MM,dup_null,enc_null,imp_null,fea_null,RF",0.86440678,0.092974901, 303*14, https://www.kaggle.com/code/advikmaniar/heart-attack-eda-prediction-with-9-model-95
 HeartAttack,output,"MM,fea_null,dup_null,out_null,enc_null,imp_null,RF",0.836065574,0.083998203, 303*14, https://www.kaggle.com/code/anandhuh/heart-attack-prediction-simple-code-89-accuracy
 Stroke,stroke,"MM,fea_null,dup_null,out_null,enc_null,imp_null,RF",0.964430894,0.273109674, 5111*12, https://www.kaggle.com/code/gaetanlopez/how-to-make-clean-visualizations
 Stroke,stroke,"MF,OE,dup_null,out_null,fea_null,nor_null,LDA",0.947896282,0.03600049, 5111*12, https://www.kaggle.com/code/thomaskonstantin/analyzing-and-modeling-stroke-data
 Stroke,stroke,"OE,KNN,dup_null,out_null,fea_null,nor_null,RF",0.955968689,0.363073587, 5111*12, https://www.kaggle.com/code/rachidyz/eda-and-modeling-for-predicting-stroke
 Stroke,stroke,"MF,OE,MR,out_null,dup_null,nor_null,RF",0.952054795,0.333521366, 5111*12, https://www.kaggle.com/code/kaanboke/beginner-friendly-end-to-end-ml-project-enjoy
 Stroke,stroke,"BE,ZS,imp_null,out_null,dup_null,fea_null,LDA",0.94464195,0.169998169, 5111*12, https://www.kaggle.com/code/siddheshera/stroke-eda-smote-9-models-90-accuracy
 Stroke,stroke,"MEAN,BE,ZS,out_null,dup_null,fea_null,RF",0.951076321,0.780041933, 5111*12, https://www.kaggle.com/code/ruthvikpvs/stroke-data-analysis-and-prediction
 Stroke,stroke,"MEAN,OE,ZS,MR,dup_null,out_null,RF",0.959882583,0.325935125, 5111*12, https://www.kaggle.com/code/ahmedterry/stroke-prediction-eda-classification-models
 Stroke,stroke,"KNN,IQR,BE,ZS,dup_null,fea_null,LDA",0.951680064,0.297089577, 5111*12, https://www.kaggle.com/code/casper6290/strokeprediction-99-acc
 Stroke,stroke,"OE,MEAN,MM,out_null,dup_null,fea_null,RF",0.949119374,0.299746275, 5111*12, https://www.kaggle.com/code/mahmoudhassanmahmoud/stroke-prediction-by-using-rf-with-accuracy-93
 Stroke,stroke,"OE,MEAN,MM,out_null,dup_null,fea_null,RF",0.957925636,0.305443287, 5111*12, https://www.kaggle.com/code/sprakshith/stroke-prediction-beginner-s-guide
 HepatitisCdata,Category,"LC,OE,MF,out_null,dup_null,nor_null,RF",0.975609756,0.32967639, 615*14, https://www.kaggle.com/code/akshayramakrishnan28/hepatitis-c-lr-knn-rf-with-best-accuracy-of-96
 HepatitisCdata,Category,"LC,BE,MEAN,ZS,out_null,dup_null,LDA",0.92273758,0.359851122, 615*14, https://www.kaggle.com/code/yashnegi01/95-accuracy-xgb-lr-rf-dt
 HepatitisCdata,Category,"MEDIAN,OE,ZS,fea_null,out_null,dup_null,LDA",0.95126778,0.040215015, 615*14, https://www.kaggle.com/code/hisoka2020/hepatitis-c-different-models-94-3
 HepatitisCdata,Category,"LC,MEDIAN,BE,out_null,dup_null,nor_null,RF",0.975609756,0.449989557, 615*14, https://www.kaggle.com/code/franvaluch/easy-hepatitis-c-prediction-acc-98
 HepatitisCdata,Category,"KNN,enc_null,fea_null,out_null,dup_null,nor_null,RF",0.967479675,0.120031834, 615*14, https://www.kaggle.com/code/yadhua/eda-and-hepatitis-c-prediction-using-rfs
 HepatitisCdata,Category,"MEAN,LC,enc_null,out_null,dup_null,nor_null,RF",0.985609756,0.320506573, 615*14, https://www.kaggle.com/code/mregrt/automl-hepatitis-c-predict
