DatasetName,Target,Pipeline,EvaluationMetric,Time,Size,Website
 Titanic,Survived,"MR,MEDIAN,BE,ZS,dup_null,out_null,CART",0.832402235,18.0302248, 891*12, https://www.kaggle.com/code/kenjee/titanic-project-example
 HeartAttack,output,"IQR,MM,dup_null,enc_null,imp_null,fea_null,RF",0.86440678,0.092974901, 303*14, https://www.kaggle.com/code/advikmaniar/heart-attack-eda-prediction-with-9-model-95
 Stroke,stroke,"MM,fea_null,dup_null,out_null,enc_null,imp_null,RF",0.964430894,0.273109674, 5111*12, https://www.kaggle.com/code/gaetanlopez/how-to-make-clean-visualizations
 HepatitisCdata,Category,"DROP,enc_null,fea_null,out_null,dup_null,nor_null,NB",0.991596639,0.000102282, 615*14, https://www.kaggle.com/code/thesanketsharma/hepatitis-c-pred
 Heart,HeartDisease,"OE,out_null,nor_null,imp_null,nor_null,dup_null,RF",0.918478261,0.169237375, 918*12, https://www.kaggle.com/code/pythonafroz/categorical-to-numerical-encoding-methods
 Star,class,"IQR,fea_null,nor_null,enc_null,imp_null,dup_null,RF",0.97921429,18.64517355, 100000*18, https://www.kaggle.com/code/waleedfaheem/stellar-classification-and-supervised-learning
 Acoustic,STATUS,"OE,MM,out_null,fea_null,imp_null,dup_null,RF",0.970478647,0.542173862, 17442*7, https://www.kaggle.com/code/jainendra2607/fire-classification-problem
 WeatherAUS,RainTomorrow,"MEAN,OE,nor_null,out_null,fea_null,dup_null,RF",0.854695355,22.90050602, 145460*23, https://www.kaggle.com/code/fahadmehfoooz/rain-prediction-with-90-65-accuracy
 MobilePrice,price_range,"ZSB,nor_null,imp_null,enc_null,fea_null,dup_null,LDA",0.948125,0.044913292, 2000*21, https://www.kaggle.com/code/mahmoudhassanmahmoud/mobile-price-ran-classification-with-accuracy-83
 WaterPotability,Potability,"MEAN,DS,fea_null,out_null,enc_null,dup_null,RF",0.681402439,0.523998976, 3276*10, https://www.kaggle.com/code/gcmadhan/water-quality-prediction-76-h2o-80-accuracy
 Placement,status,"KNN,DS,enc_null,imp_null,out_null,dup_null,CART",0.994117647,11.33561087, 215*15, https://www.kaggle.com/code/benroshan/you-re-hired-analysis-on-campus-recruitment-data
 Heart2020,HeartDisease,"LC,ZSB,nor_null,fea_null,out_null,dup_null,RF",0.916822569,18.05598974, 319795*18, https://www.kaggle.com/code/mushfirat/heartdisease-eda-prediction
 FakeJob,fraudulent,"MEAN,OE,ZS,MR,out_null,dup_null,RF",0.979865772,1.222230196, 17880*18, https://www.kaggle.com/code/shivamburnwal/nlp-98-acc-eda-with-model-using-spacy-pipeline
 CompanyBankruptcy,Bankrupt?,"IQR,fea_null,enc_null,imp_null,nor_null,dup_null,RF",0.98240866,1.492979527, 6819*96, https://www.kaggle.com/code/marto24/bankruptcy-detection
 IRIS,species,"ZS,fea_null,enc_null,imp_null,out_null,dup_null,RF",0.983333333,0.10793519, 150*5, https://www.kaggle.com/code/gauravahujaravenclaw/iris-dataset-analysis-and-machine-learning
 AirlinePassengerSatisfaction,satisfaction,"OE,ZS,fea_null,imp_null,out_null,dup_null,RF",0.965731937,13.09157777, 103904*25, https://www.kaggle.com/code/rajeevnair676/airline-satisfaction-xgboost-96-accuracy
 WineQT,satisfaction,"MR,enc_null,nor_null,imp_null,out_null,dup_null,RF",0.707423581,0.173275471, 1143*13, https://www.kaggle.com/code/qusaybtoush1990/wine-quality
 Bank,deposit,"BE,ZS,dup_null,fea_null,out_null,imp_null,LDA",0.806586147,0.309330702, 11162*17, https://www.kaggle.com/code/janiobachmann/bank-marketing-campaign-opening-a-term-deposit
BankFull,y,"IQR,ZS,enc_null,fea_null,dup_null,imp_null,RF",0.943276706,1.369977474, 41188*21, https://www.kaggle.com/code/henriqueyamahata/bank-marketing-classification-roc-f1-recall
