DatasetName,Target,Pipeline,EvaluationMetric,Time,Size,Website
possum_belly,belly,"imp_null,OE,DS,fea_null,dup_null,out_null,RF_REG",9.847909523809523,0.1100726127624511,"(104, 14)",https
possum_totlngth,totlngth,"MEDIAN,enc_null,nor_null,fea_null,dup_null,out_null,RF_REG",13.068599999999998,0.1250450611114502,"(104, 14)",https
possum_footlgth,footlgth,"MEAN,OE,ZS,fea_null,dup_null,IQR,OLS",124.8094559640435,0.0360221862792968,"(104, 14)",https
Social_Network_Ads,Purchased,"imp_null,OE,nor_null,fea_null,dup_null,ZSB,RF_REG",0.0916225,0.1539230346679687,"(400, 5)",https
Concrete_Data_Yeh,csMPa,"imp_null,enc_null,nor_null,fea_null,dup_null,ZSB,RF_REG",3623.515810647512,0.3129987716674804,"(1030, 9)",https
insurance,charges,"imp_null,OE,ZS,fea_null,dup_null,LOF,RF_REG",20954.47495923802,0.2829039096832275,"(1338, 7)",https
insurance_bmi,bmi,"imp_null,OE,ZS,fea_null,dup_null,out_null,OLS",15501.354790250823,0.0200023651123046,"(1338, 7)",https
CarPrice_Assignment,price,"imp_null,OE,MM,MR,dup_null,out_null,RF_REG",215.21894146341464,0.2099359035491943,"(205, 26)",https
boston,MEDV,"imp_null,enc_null,nor_null,MR,ED,IQR,RF_REG",301.9374169491525,0.2179980278015136,"(506, 14)",https
framingham,TenYearCHD,"MF,enc_null,ZS,fea_null,dup_null,LOF,OLS",0.0946101224300735,0.1299941539764404,"(4238, 16)",https
framingham_heartRate,heartRate,"MF,enc_null,nor_null,fea_null,dup_null,LOF,OLS",123.06468254091632,0.0909211635589599,"(4238, 16)",https
kc_house_data,price,"imp_null,enc_null,DS,fea_null,dup_null,IQR,RF_REG",94328.66048596195,9.787004947662354,"(21613, 21)",https
winequality_red,quality,"imp_null,enc_null,ZS,fea_null,dup_null,out_null,RF_REG",0.314711875,0.5579824447631836,"(1599, 12)",https
